Array: 
41 18467 6334 26500 19169 15724 11478 29358 26962 24464 5705 28145 23281 16827 9961 491 2995 11942 4827 5436 32391 14604 3902 153 292 12382 17421 18716 19718 19895 5447 21726 14771 11538 1869 19912 25667 26299 17035 9894 28703 23811 31322 30333 17673 4664 15141 7711 28253 6868 25547 27644 32662 32757 20037 12859 8723 9741 27529 778 12316 3035 22190 1842 288 30106 9040 8942 19264 22648 27446 23805 15890 6729 24370 15350 15006 31101 24393 3548 19629 12623 24084 19954 18756 11840 4966 7376 13931 26308 16944 32439 24626 11323 5537 21538 16118 2082 22929 16541 4833 31115 4639 29658 22704 9930 13977 2306 31673 22386 5021 28745 26924 19072 6270 5829 26777 15573 5097 16512 23986 13290 9161 18636 22355 24767 23655 15574 4031 12052 27350 1150 16941 21724 13966 3430 31107 30191 18007 11337 15457 12287 27753 10383 14945 8909 32209 9758 24221 18588 6422 24946 27506 13030 16413 29168 900 32591 18762 1655 17410 6359 27624 20537 21548 6483 27595 4041 3602 24350 10291 30836 9374 11020 4596 24021 27348 23199 19668 24484 8281 4734 53 1999 26418 27938 6900 3788 18127 467 3728 14893 24648 22483 17807 2421 14310 6617 22813 9514 14309 7616 18935 17451 20600 5249 16519 31556 22798 30303 6224 11008 5844 32609 14989 32702 3195 20485 3093 14343 30523 1587 29314 9503 7448 25200 13458 6618 20580 19796 14798 15281 19589 20798 28009 27157 20472 23622 18538 12292 6038 24179 18190 29657 7958 6191 19815 22888 19156 11511 16202 2634 24272 20055 20328 22646 26362 4886 18875 28433 29869 20142 23844 1416 21881 31998 10322 18651 10021 5699 3557 28476 27892 24389 5075 10712 2600 2510 21003 26869 17861 14688 13401 9789 15255 16423 5002 10585 24182 10285 27088 31426 28617 23757 9832 30932 4169 2154 25721 17189 19976 31329 2368 28692 21425 10555 3434 16549 7441 9512 30145 18060 21718 3753 16139 12423 16279 25996 16687 12529 22549 17437 19866 12949 193 23195 3297 20416 28286 16105 24488 16282 12455 25734 18114 11701 31316 20671 5786 12263 4313 24355 31185 20053 912 10808 1832 20945 4313 27756 28321 19558 23646 27982 481 4144 23196 20222 7129 2161 5535 20450 11173 10466 12044 21659 26292 26439 17253 20024 26154 29510 4745 20649 13186 8313 4474 28022 2168 14018 18787 9905 17958 7391 10202 3625 26477 4414 9314 25824 29334 25874 24372 20159 11833 28070 7487 28297 7518 8177 17773 32270 1763 2668 17192 13985 3102 8480 29213 7627 4802 4099 30527 2625 1543 1924 11023 29972 13061 14181 31003 27432 17505 27593 22725 13031 8492 142 17222 31286 13064 7900 19187 8360 22413 30974 14270 29170 235 30833 19711 25760 18896 4667 7285 12550 140 13694 2695 21624 28019 2125 26576 21694 22658 26302 17371 22466 4678 22593 23851 25484 1018 28464 21119 23152 2800 18087 31060 1926 9010 4757 32170 20315 9576 30227 12043 22758 7164 5109 7882 17086 29565 3487 29577 14474 2625 25627 5629 31928 25423 28520 6902 14962 123 24596 3737 13261 10195 32525 1264 8260 6202 8116 5030 20326 29011 30771 6411 25547 21153 21520 29790 14924 30188 21763 4940 20851 18662 13829 30900 17713 18958 17578 8365 13007 11477 1200 26058 6439 2303 12760 19357 2324 6477 5108 21113 14887 19801 22850 14460 22428 12993 27384 19405 6540 31111 28704 12835 32356 6072 29350 18823 14485 20556 23216 1626 9357 8526 13357 29337 23271 23869 29361 12896 13022 29617 10112 12717 18696 11585 24041 24423 24129 24229 4565 6559 8932 22296 29855 12053 16962 3584 29734 6654 16972 21457 14369 22532 2963 2607 2483 911 11635 10067 22848 4675 12938 2223 22142 23754 6511 22741 20175 21459 17825 3221 17870 1626 31934 15205 31783 23850 17398 22279 22701 12193 12734 1637 26534 5556 1993 10176 25705 6962 10548 15881 300 14413 16641 19855 24855 13142 11462 27611 30877 20424 32678 1752 18443 28296 12673 10040 9313 875 20072 12818 610 1017 14932 28112 30695 13169 23831 20040 26488 28685 19090 19497 2589 25990 15145 19353 19314 18651 26740 22044 11258 335 8759 11192 7605 25264 12181 28503 3829 23775 20608 29292 5997 17549 29556 25561 31627 6467 29541 26129 31240 27813 29174 20601 6077 20215 8683 8213 23992 25824 5601 23392 15759 2670 26428 28027 4084 10075 18786 15498 24970 6287 23847 32604 503 21221 22663 5706 2363 9010 22171 27489 18240 12164 25542 7619 20913 7591 6704 31818 9232 750 25205 4975 1539 303 11422 21098 11247 13584 13648 2971 17864 22913 11075 21545 28712 17546 18678 1769 15262 8519 13985 28289 15944 2865 18540 23245 25508 28318 27870 9601 28323 21132 24472 27152 25087 28570 29763 29901 17103 14423 3527 11600 26969 14015 5565 28 21543 25347 2088 2943 12637 22409 26463 5049 4681 1588 11342 608 32060 21221 1758 29954 20888 14146 690 7949 12843 21430 25620 748 27067 4536 20783 18035 32226 15185 7038 9853 25629 11224 15748 19923 3359 32257 24766 4944 14955 23318 32726 25411 21025 20355 31001 22549 9496 18584 9515 17964 23342 8075 17913 16142 31196 21948 25072 20426 14606 26173 24429 32404 6705 20626 29812 19375 30093 16565 16036 14736 29141 30814 5994 8256 6652 23936 30838 20482 1355 21015 1131 18230 17841 14625 2011 32637 4186 19690 1650 5662 21634 10893 10353 21416 13452 14008 7262 22233 5454 16303 16634 26303 14256 148 11124 12317 4213 27109 24028 29200 21080 21318 16858 24050 24155 31361 15264 11903 3676 29643 26909 14902 3561 28489 24948 1282 13653 30674 2220 5402 6923 3831 19369 3878 20259 19008 22619 23971 30003 21945 9781 26504 12392 32685 25313 6698 5589 12722 5938 19037 6410 31461 6234 12508 9961 3959 6493 1515 25269 24937 28869 58 14700 13971 26264 15117 16215 24555 7815 18330 3039 30212 29288 28082 1954 16085 20710 24484 24774 8380 29815 25951 6541 18115 1679 17110 25898 23073 788 23977 18132 29956 28689 26113 10008 12941 15790 1723 21363 28 25184 24778 7200 5071 1885 21974 1071 11333 22867 26153 14295 32168 20825 9676 15629 28650 2598 3309 4693 4686 30080 10116 12249 
Result: 
m[] bbl[] shl[] mrg[]
6962 20649 20649 20649 
10548 20671 20671 20671 
15881 20710 20710 20710 
300 20783 20783 20783 
14413 20798 20798 20798 
16641 20825 20825 20825 
19855 20851 20851 20851 
24855 20888 20888 20888 
13142 20913 20913 20913 
11462 20945 20945 20945 
27611 21003 21003 21003 
30877 21015 21015 21015 
20424 21025 21025 21025 
32678 21080 21080 21080 
1752 21098 21098 21098 
18443 21113 21113 21113 
28296 21119 21119 21119 
12673 21132 21132 21132 
10040 21153 21153 21153 
9313 21221 21221 21221 
875 21221 21221 21221 
20072 21318 21318 21318 
12818 21363 21363 21363 
610 21416 21416 21416 
1017 21425 21425 21425 
14932 21430 21430 21430 
28112 21457 21457 21457 
30695 21459 21459 21459 
13169 21520 21520 21520 
23831 21538 21538 21538 
20040 21543 21543 21543 
26488 21545 21545 21545 
28685 21548 21548 21548 
19090 21624 21624 21624 
19497 21634 21634 21634 
2589 21659 21659 21659 
25990 21694 21694 21694 
15145 21718 21718 21718 
19353 21724 21724 21724 
19314 21726 21726 21726 
18651 21763 21763 21763 
26740 21881 21881 21881 
22044 21945 21945 21945 
11258 21948 21948 21948 
335 21974 21974 21974 
8759 22044 22044 22044 
11192 22142 22142 22142 
7605 22171 22171 22171 
25264 22190 22190 22190 
12181 22233 22233 22233 
28503 22279 22279 22279 
3829 22296 22296 22296 
23775 22355 22355 22355 
20608 22386 22386 22386 
29292 22409 22409 22409 
5997 22413 22413 22413 
17549 22428 22428 22428 
29556 22466 22466 22466 
25561 22483 22483 22483 
31627 22532 22532 22532 
6467 22549 22549 22549 
29541 22549 22549 22549 
26129 22593 22593 22593 
31240 22619 22619 22619 
27813 22646 22646 22646 
29174 22648 22648 22648 
20601 22658 22658 22658 
6077 22663 22663 22663 
20215 22701 22701 22701 
8683 22704 22704 22704 
8213 22725 22725 22725 
23992 22741 22741 22741 
25824 22758 22758 22758 
5601 22798 22798 22798 
23392 22813 22813 22813 
15759 22848 22848 22848 
2670 22850 22850 22850 
26428 22867 22867 22867 
28027 22888 22888 22888 
4084 22913 22913 22913 
10075 22929 22929 22929 
18786 23073 23073 23073 
15498 23152 23152 23152 
24970 23195 23195 23195 
6287 23196 23196 23196 
23847 23199 23199 23199 
32604 23216 23216 23216 
503 23245 23245 23245 
21221 23271 23271 23271 
22663 23281 23281 23281 
5706 23318 23318 23318 
2363 23342 23342 23342 
9010 23392 23392 23392 
22171 23622 23622 23622 
27489 23646 23646 23646 
18240 23655 23655 23655 
12164 23754 23754 23754 
25542 23757 23757 23757 
7619 23775 23775 23775 
20913 23805 23805 23805 
7591 23811 23811 23811 
6704 23831 23831 23831 
31818 23844 23844 23844 
9232 23847 23847 23847 
750 23850 23850 23850 
25205 23851 23851 23851 
4975 23869 23869 23869 
1539 23936 23936 23936 
303 23971 23971 23971 
11422 23977 23977 23977 
21098 23986 23986 23986 
11247 23992 23992 23992 
13584 24021 24021 24021 
13648 24028 24028 24028 
2971 24041 24041 24041 
17864 24050 24050 24050 
22913 24084 24084 24084 
11075 24129 24129 24129 
21545 24155 24155 24155 
28712 24179 24179 24179 
17546 24182 24182 24182 
18678 24221 24221 24221 
1769 24229 24229 24229 
15262 24272 24272 24272 
8519 24350 24350 24350 
13985 24355 24355 24355 
28289 24370 24370 24370 
15944 24372 24372 24372 
2865 24389 24389 24389 
18540 24393 24393 24393 
23245 24423 24423 24423 
25508 24429 24429 24429 
28318 24464 24464 24464 
27870 24472 24472 24472 
9601 24484 24484 24484 
28323 24484 24484 24484 
21132 24488 24488 24488 
24472 24555 24555 24555 
27152 24596 24596 24596 
25087 24626 24626 24626 
28570 24648 24648 24648 
29763 24766 24766 24766 
29901 24767 24767 24767 
17103 24774 24774 24774 
14423 24778 24778 24778 
3527 24855 24855 24855 
11600 24937 24937 24937 
26969 24946 24946 24946 
14015 24948 24948 24948 
5565 24970 24970 24970 
28 25072 25072 25072 
21543 25087 25087 25087 
25347 25184 25184 25184 
2088 25200 25200 25200 
2943 25205 25205 25205 
12637 25264 25264 25264 
22409 25269 25269 25269 
26463 25313 25313 25313 
5049 25347 25347 25347 
4681 25411 25411 25411 
1588 25423 25423 25423 
11342 25484 25484 25484 
608 25508 25508 25508 
32060 25542 25542 25542 
21221 25547 25547 25547 
1758 25547 25547 25547 
29954 25561 25561 25561 
20888 25620 25620 25620 
14146 25627 25627 25627 
690 25629 25629 25629 
7949 25667 25667 25667 
12843 25705 25705 25705 
21430 25721 25721 25721 
25620 25734 25734 25734 
748 25760 25760 25760 
27067 25824 25824 25824 
4536 25824 25824 25824 
20783 25874 25874 25874 
18035 25898 25898 25898 
32226 25951 25951 25951 
15185 25990 25990 25990 
7038 25996 25996 25996 
9853 26058 26058 26058 
25629 26113 26113 26113 
11224 26129 26129 26129 
15748 26153 26153 26153 
19923 26154 26154 26154 
3359 26173 26173 26173 
32257 26264 26264 26264 
24766 26292 26292 26292 
4944 26299 26299 26299 
14955 26302 26302 26302 
23318 26303 26303 26303 
32726 26308 26308 26308 
25411 26362 26362 26362 
21025 26418 26418 26418 
20355 26428 26428 26428 
31001 26439 26439 26439 
22549 26463 26463 26463 
9496 26477 26477 26477 
18584 26488 26488 26488 
9515 26500 26500 26500 
17964 26504 26504 26504 
23342 26534 26534 26534 
8075 26576 26576 26576 
17913 26740 26740 26740 
16142 26777 26777 26777 
31196 26869 26869 26869 
21948 26909 26909 26909 
25072 26924 26924 26924 
20426 26962 26962 26962 
14606 26969 26969 26969 
26173 27067 27067 27067 
24429 27088 27088 27088 
32404 27109 27109 27109 
6705 27152 27152 27152 
20626 27157 27157 27157 
29812 27348 27348 27348 
19375 27350 27350 27350 
30093 27384 27384 27384 
16565 27432 27432 27432 
16036 27446 27446 27446 
14736 27489 27489 27489 
29141 27506 27506 27506 
30814 27529 27529 27529 
5994 27593 27593 27593 
8256 27595 27595 27595 
6652 27611 27611 27611 
23936 27624 27624 27624 
30838 27644 27644 27644 
20482 27753 27753 27753 
1355 27756 27756 27756 
21015 27813 27813 27813 
1131 27870 27870 27870 
18230 27892 27892 27892 
17841 27938 27938 27938 
14625 27982 27982 27982 
2011 28009 28009 28009 
32637 28019 28019 28019 
4186 28022 28022 28022 
19690 28027 28027 28027 
1650 28070 28070 28070 
5662 28082 28082 28082 
21634 28112 28112 28112 
10893 28145 28145 28145 
10353 28253 28253 28253 
21416 28286 28286 28286 
13452 28289 28289 28289 
14008 28296 28296 28296 
7262 28297 28297 28297 
22233 28318 28318 28318 
5454 28321 28321 28321 
16303 28323 28323 28323 
16634 28433 28433 28433 
26303 28464 28464 28464 
14256 28476 28476 28476 
148 28489 28489 28489 
11124 28503 28503 28503 
12317 28520 28520 28520 
4213 28570 28570 28570 
27109 28617 28617 28617 
24028 28650 28650 28650 
29200 28685 28685 28685 
21080 28689 28689 28689 
21318 28692 28692 28692 
16858 28703 28703 28703 
24050 28704 28704 28704 
24155 28712 28712 28712 
31361 28745 28745 28745 
15264 28869 28869 28869 
11903 29011 29011 29011 
3676 29141 29141 29141 
29643 29168 29168 29168 
26909 29170 29170 29170 
14902 29174 29174 29174 
3561 29200 29200 29200 
28489 29213 29213 29213 
24948 29288 29288 29288 
1282 29292 29292 29292 
13653 29314 29314 29314 
30674 29334 29334 29334 
2220 29337 29337 29337 
5402 29350 29350 29350 
6923 29358 29358 29358 
3831 29361 29361 29361 
19369 29510 29510 29510 
3878 29541 29541 29541 
20259 29556 29556 29556 
19008 29565 29565 29565 
22619 29577 29577 29577 
23971 29617 29617 29617 
30003 29643 29643 29643 
21945 29657 29657 29657 
9781 29658 29658 29658 
26504 29734 29734 29734 
12392 29763 29763 29763 
32685 29790 29790 29790 
25313 29812 29812 29812 
6698 29815 29815 29815 
5589 29855 29855 29855 
12722 29869 29869 29869 
5938 29901 29901 29901 
19037 29954 29954 29954 
6410 29956 29956 29956 
31461 29972 29972 29972 
6234 30003 30003 30003 
12508 30080 30080 30080 
9961 30093 30093 30093 
3959 30106 30106 30106 
6493 30145 30145 30145 
1515 30188 30188 30188 
25269 30191 30191 30191 
24937 30212 30212 30212 
28869 30227 30227 30227 
58 30303 30303 30303 
14700 30333 30333 30333 
13971 30523 30523 30523 
26264 30527 30527 30527 
15117 30674 30674 30674 
16215 30695 30695 30695 
24555 30771 30771 30771 
7815 30814 30814 30814 
18330 30833 30833 30833 
3039 30836 30836 30836 
30212 30838 30838 30838 
29288 30877 30877 30877 
28082 30900 30900 30900 
1954 30932 30932 30932 
16085 30974 30974 30974 
20710 31001 31001 31001 
24484 31003 31003 31003 
24774 31060 31060 31060 
8380 31101 31101 31101 
29815 31107 31107 31107 
25951 31111 31111 31111 
6541 31115 31115 31115 
18115 31185 31185 31185 
1679 31196 31196 31196 
17110 31240 31240 31240 
25898 31286 31286 31286 
23073 31316 31316 31316 
788 31322 31322 31322 
23977 31329 31329 31329 
18132 31361 31361 31361 
29956 31426 31426 31426 
28689 31461 31461 31461 
26113 31556 31556 31556 
10008 31627 31627 31627 
12941 31673 31673 31673 
15790 31783 31783 31783 
1723 31818 31818 31818 
21363 31928 31928 31928 
28 31934 31934 31934 
25184 31998 31998 31998 
24778 32060 32060 32060 
7200 32168 32168 32168 
5071 32170 32170 32170 
1885 32209 32209 32209 
21974 32226 32226 32226 
1071 32257 32257 32257 
11333 32270 32270 32270 
22867 32356 32356 32356 
26153 32391 32391 32391 
14295 32404 32404 32404 
32168 32439 32439 32439 
20825 32525 32525 32525 
9676 32591 32591 32591 
15629 32604 32604 32604 
28650 32609 32609 32609 
2598 32637 32637 32637 
3309 32662 32662 32662 
4693 32678 32678 32678 
4686 32685 32685 32685 
30080 32702 32702 32702 
10116 32726 32726 32726 
12249 32757 32757 32757 
